CODE,PARENT,PARENT SCOPE,DIRECTION,INVERSE,INVERSE SCOPE,COMPARABLE,NAME,NAME_EN,NAME_RU,NAME_AR,DESCRIPTION,DESCRIPTION_EN,DESCRIPTION_RU,DESCRIPTION_AR
6,,,EXPENDITURE,,,True,הנהלה כללית,General Management,Генеральное управление,إدارة الخدمات العامة,,,,
61,6,,EXPENDITURE,,,True,מינהל כללי,General Administration,Генеральная администрация,الادارة العامة,,,,
611,61,,EXPENDITURE,,,False,הנהלה ורשות,Management and Municipality,Управление и муниципалитет,إدارة وسلطة,,,,
6111,611,,EXPENDITURE,,,False,ראש הרשות המקומית וסגניו,Municipality Head and Deputies,Глава муниципалитета и заместители,رئيس السلطة المحلية والنواب,,,,
6112,611,,EXPENDITURE,,,False,מועצת הרשות,Municipal Council,Муниципальный комитет,مجلس السلطة,,,,
612,61,,EXPENDITURE,,,False,מבקר הרשות,Municipal Comptroller,Муниципальный контролёр,مشرف السلطة,,,,
613,61,,EXPENDITURE,,,False,מזכירות,Secretariate,Секретариат,سكرتارية,,,,
614,61,,EXPENDITURE,,,False,הסברה ויחסי ציבור,Spokesmanship and Public Relations,Представительность и связи с общественностью,الإعلام والعلاقات العامة,,,,
615,61,,EXPENDITURE,,,False,מנגנון,Administration,Административный персонал,تقنية,,,,
616,61,,EXPENDITURE,,,False,או״ש והדרכה,"Organization and Methods, and Training","Организация и методы, и обучение",التنظيم والأساليب والتدريب,,,,
617,61,,EXPENDITURE,,,False,שרות משפטי,Legal Service,Юридическая служба,الخدمات القانونية,,,,
618,61,,EXPENDITURE,,,False,תכנון ומחקר,Planning and Research,Проектирование и исследование,التخطيط والبحوث,,,,
619,61,,EXPENDITURE,,,False,בחירות ברשויות המקומיות,Local Government Elections,Выборы в муниципалитетах,الانتخابات البلدية,,,,
62,6,,EXPENDITURE,,,True,מינהל כספי,Financial Administration,Финансовая администрация,الإدارة المالية,,,,
621,62,,EXPENDITURE,,,False,הגזברות,Accounts department,Казначейство,أمانة الثروة,,,,
6211,621,,EXPENDITURE,,,False,הנהלת הגזברות,Accounts department managment,Администрация казначейства,إدارة الخزانة,,,,
6212,621,,EXPENDITURE,,,False,תקציבים וכלכלה,Budgets and Economics,Бюджеты и экономика,الميزانيات والاقتصاد,,,,
6213,621,,EXPENDITURE,,,False,הנהלת חשבונות,Accounting,Бухгалтерия,مسك دفاتر,,,,
6214,621,,EXPENDITURE,,,False,תשלומים,Payments,Оплаты,دفوعات,,,,
6215,621,,EXPENDITURE,,,False,יחידת שכר,Salary Unit/Department,Отдел заработной платы,وحدة الرواتب,,,,
6216,621,,EXPENDITURE,,,False,מעקב אחר הכנסות,Revenues Tracking,Регулировка взносов,تتبع الدخل,,,,
6217,621,,EXPENDITURE,,,False,מיכון ואוטומציה,Mechanization and Automation,Механизация и автоматизация,المكننة والأتمتة,,,,
622,62,,EXPENDITURE,,,False,שומה,Tax Assessment,Оценка налогов,تقدير,,,,
623,62,,EXPENDITURE,,,False,גבייה,Collection,Сбор,جمع,,,,
6231,623,,EXPENDITURE,,,False,מזכירות ומינהל,Secretariate and Administration,Секретариат и администрация,السكرتارية والإدارة,,,,
6232,623,,EXPENDITURE,,,False,גביית ארנונה,Municipal Tax Collection,Сбор муниципальных налогов,جمع ضريبة الأملاك,,,,
6233,623,,EXPENDITURE,,,False,גביית אגרות והיטלים,Fees and Levies Collection,Сбор оплат и налогов,تحصيل الرسوم والجبايات,,,,
6234,623,,EXPENDITURE,,,False,גביית תשלומי בעלים,Owners' Payments Collection,Сбор владельческих оплат,جمع دفوعات المالك,,,,
6235,623,,EXPENDITURE,,,False,גבייה ממשרדי ממשלה,Collection from Government Ministries,Сбор с государственных министерств,جمع من الوكالات الحكومية,,,,
6236,623,,EXPENDITURE,,,False,הוצאות לפועל,Execution office,Исполнительное бюро,النفقات الفعلية,,,,
624,62,,EXPENDITURE,,,False,פקוח על חברות הרשות,Supervision of Municipal Companies,Инспекция муниципальных компаний,الإشراف على شركات في السلطة,,,,
63,6,,EXPENDITURE,,,True,הוצאות מימון,Financing Expenses,Финансовые расходы,نفقات التمويل,,,,
631,63,,EXPENDITURE,,,False,עמלות והוצאות בנקאיות,Fees and Bank Expenses,Комиссионные и банковые расходы,الرسوم ومصاريف البنك,,,,
632,63,,EXPENDITURE,113,,False,הוצאות מימון,Financing Expenses,Финансовые расходы,نفقات التمويل,,,,
64,6,,EXPENDITURE,,,True,פרעון מלוות,Loan Redemption/Payment,Уплата ссуд,سداد القروض,,,,
648,64,,EXPENDITURE,,,False,פרעון מלוות לפרעון עצמי,Self Redemption Loan Redemption,?,سداد قروض غير المسددة,,,,
649,64,,EXPENDITURE,,,False,פרעון מלוות מוכר,Redemption,?,سداد القروض المعترف بها,,,,
6491,649,,EXPENDITURE,,,False,פרעון מלוות מוכר לא למחזור,Redemption,?,سداد القروض المعترف بها ليست قابلة لإعادة التدوير,,,,
6492,649,,EXPENDITURE,,,False,פרעון מלוות מוכר למחזור נטו,Redemption,?,سداد القروض المعترف بها في مرمى,,,,
7,,,EXPENDITURE,2,,True,שירותים מקומיים,Local Services,Местные услуги,الخدمات المحلية,,,,
71,7,,EXPENDITURE,21,,True,תברואה,Sanitation,Санитация,الصرف الصحي,,,,
711,71,,EXPENDITURE,,,True,מינהל תברואה,Sanitation Administration,Санитационная администрация,إدارة الصرف الصحي,,,,
712,71,,EXPENDITURE,212,,True,שירותי ניקיון,Cleaning Services,Уборичные услуги,خدمات التنظيف,,,,
7121,712,,EXPENDITURE,2121,,True,מינהל שירותי ניקיון,Cleaning Services Administration,Администрация уборочных услуг,إدارة خدمات التنظيف,,,,
7122,712,,EXPENDITURE,2122,,True,ניקוי רחובות,Street cleaning,Уличная уборка,تنظيف الشوارع,,,,
7123,712,,EXPENDITURE,2123,,True,אסוף ובעור אשפה,Garbage removal/waste collection and disposal,Сбор и ликвидация мусора,جمع وإزالة سلة المهملات,,,,
7124,712,,EXPENDITURE,2124,,True,ניקוי חצרות,Yard Cleaning,Уборка дворов,تنظيف الساحات,,,,
7125,712,,EXPENDITURE,2125,,True,בתי שימוש ציבוריים,Public Restrooms,Общественный туалет,المراحيض العامة,,,,
713,71,,EXPENDITURE,213,,True,פיקוח תברואי,Sanitary Supervision,Санитарный контроль,الإشراف الصحي,,,,
7131,713,,EXPENDITURE,2131,,False,מינהל הפיקוח התברואי,Sanitary Supervision Administration,Администрация санитарного контроля,إدارة الإشراف الصحي,,,,
7132,713,,EXPENDITURE,2132,,False,פקוח תברואי כללי,General Sanitation Supervision,Генеральный санитарный контроль,رقابة صحية عامة,,,,
7133,713,,EXPENDITURE,2133,,False,פיקוח על עסקים ומוסדות,Business and Institution Supervision,Контроль предприятий и учреждений,رقابة الشركات والمؤسسات,,,,
714,71,,EXPENDITURE,214,,True,שרות וטרינרי,Veterinary Service,Ветеренарные услуги,الخدمات البيطرية,,,,
7141,714,,EXPENDITURE,2141,,False,מינהל שרות וטרינרי,Veterinary Service Administration,Администрация ветеренарных услуг,إدارة الخدمات البيطرية,,,,
7142,714,,EXPENDITURE,2142,,False,פיקוח וטרינרי,Veterinary Supervision,Ветеренарный контроль,رقابة بيطرية,,,,
7143,714,,EXPENDITURE,2143,,False,מלחמה בכלבת,Fight against Rabies,собачья чума,مكافحة داء الكلاب,,,,
715,71,,EXPENDITURE,215,,True,תברואה מונעת,Preventive Sanitation,Профилактическая санитация,الصرف الصحي الوقائي,,,,
7151,715,,EXPENDITURE,2151,,False,מכירת חומרי תברואה,Sanitary Materials Sales,Продажа санитарных материалов,بيع المواد الصحية,,,,
7152,715,,EXPENDITURE,2152,,False,הדברת מחלות מדבקות,Elimination of Infectious Diseases,Элиминация заразных болезней,مكافحة الأمراض المعدية,,,,
7153,715,,EXPENDITURE,2153,,False,שרות להדברת מזיקים,Pest Control Service,Служба контроля вредителей,خدمات مكافحة الآفات,,,,
72,7,,EXPENDITURE,22,,True,שמירה ובטחון,Guarding and Security,Охрана,حفظ والأمن,,,,
721,72,,EXPENDITURE,221,,False,מינהל שמירה ובטחון,Guarding and Security Administration,Администрация охраны и безопасности,إدارة الحفظ والأمن,,,,
722,72,,EXPENDITURE,222,,False,שמירה ביטחונית,Security Guard,?,حارس أمن,,,,
7221,722,,EXPENDITURE,2221,,False,משמר אזרחי,Civic Police/Guard,Гражданская охрана,الحرس المدني,,,,
723,72,,EXPENDITURE,223,,False,הג״א,Civic Defense Force,Гражданская оборона,قوات الدفاع المدني,,,,
724,72,,EXPENDITURE,224,,False,כבוי אש,Fire Fighting,Пожарная служба,مكافحة الحرائق,,,,
725,72,,EXPENDITURE,225,,False,בטיחות,Safety,Безопасность,أمان,,,,
726,72,,EXPENDITURE,226,,False,"מל״ח ופס""ח",Emergency services,,خدمات الطوارئ,,,,
7261,726,,EXPENDITURE,2261,,False,מל״ח,Emergency services,,,,,,
7262,726,,EXPENDITURE,2262,,False,"פס""ח",Emergency services,,,,,,
727,72,,EXPENDITURE,227,,False,הגמ״ר,Civic Defense,,الدفاع المدني,,,,
729,72,,EXPENDITURE,229,,False,כסוי הוצאות לשעת חירום,Expenses in State of Emergency,,تغطية النفقات الطارئة,,,,
